Phone timestamp;RR-interval [ms]
2023-08-07T15:05:14.208;979
2023-08-07T15:05:15.187;870
2023-08-07T15:05:16.057;841
2023-08-07T15:05:16.898;918
2023-08-07T15:05:17.816;950
2023-08-07T15:05:18.766;971
2023-08-07T15:05:19.737;944
2023-08-07T15:05:20.681;836
2023-08-07T15:05:21.517;843
2023-08-07T15:05:22.360;896
2023-08-07T15:05:23.256;954
2023-08-07T15:05:24.210;973
2023-08-07T15:05:25.183;934
2023-08-07T15:05:26.117;846
2023-08-07T15:05:26.963;873
2023-08-07T15:05:27.836;917
2023-08-07T15:05:28.753;975
2023-08-07T15:05:29.728;970
2023-08-07T15:05:30.698;864
2023-08-07T15:05:31.562;856
2023-08-07T15:05:32.418;898
2023-08-07T15:05:33.316;925
2023-08-07T15:05:34.241;931
2023-08-07T15:05:35.172;906
2023-08-07T15:05:36.078;852
2023-08-07T15:05:36.930;777
2023-08-07T15:05:37.707;775
2023-08-07T15:05:38.482;825
2023-08-07T15:05:39.307;858
2023-08-07T15:05:40.165;874
2023-08-07T15:05:41.039;854
2023-08-07T15:05:41.893;814
2023-08-07T15:05:42.707;814
2023-08-07T15:05:43.521;865
2023-08-07T15:05:44.386;916
2023-08-07T15:05:45.302;918
2023-08-07T15:05:46.220;849
2023-08-07T15:05:47.069;812
2023-08-07T15:05:47.881;831
2023-08-07T15:05:48.712;877
2023-08-07T15:05:49.589;928
2023-08-07T15:05:50.517;915
2023-08-07T15:05:51.432;846
2023-08-07T15:05:52.278;830
2023-08-07T15:05:53.108;851
2023-08-07T15:05:53.959;881
2023-08-07T15:05:54.840;892
2023-08-07T15:05:55.732;909
2023-08-07T15:05:56.641;822
2023-08-07T15:05:57.463;816
2023-08-07T15:05:58.279;848
2023-08-07T15:05:59.127;894
2023-08-07T15:06:00.021;902
2023-08-07T15:06:00.923;901
2023-08-07T15:06:01.824;833
2023-08-07T15:06:02.657;802
2023-08-07T15:06:03.459;820
2023-08-07T15:06:04.279;868
2023-08-07T15:06:05.147;901
2023-08-07T15:06:06.048;917
2023-08-07T15:06:06.965;842
2023-08-07T15:06:07.807;805
2023-08-07T15:06:08.612;822
2023-08-07T15:06:09.434;875
2023-08-07T15:06:10.309;915
2023-08-07T15:06:11.224;931
2023-08-07T15:06:12.155;854
2023-08-07T15:06:13.009;826
2023-08-07T15:06:13.835;846
2023-08-07T15:06:14.681;878
2023-08-07T15:06:15.559;908
2023-08-07T15:06:16.467;942
2023-08-07T15:06:17.409;872
2023-08-07T15:06:18.281;815
2023-08-07T15:06:19.096;839
2023-08-07T15:06:19.935;883
2023-08-07T15:06:20.818;918
2023-08-07T15:06:21.736;920
2023-08-07T15:06:22.656;850
2023-08-07T15:06:23.506;825
2023-08-07T15:06:24.331;838
2023-08-07T15:06:25.169;872
2023-08-07T15:06:26.041;932
2023-08-07T15:06:26.973;930
2023-08-07T15:06:27.903;847
2023-08-07T15:06:28.750;819
2023-08-07T15:06:29.569;834
2023-08-07T15:06:30.403;884
2023-08-07T15:06:31.287;916
2023-08-07T15:06:32.203;920
2023-08-07T15:06:33.123;842
2023-08-07T15:06:33.965;814
2023-08-07T15:06:34.779;832
2023-08-07T15:06:35.611;883
2023-08-07T15:06:36.494;892
2023-08-07T15:06:37.386;894
2023-08-07T15:06:38.280;819
2023-08-07T15:06:39.099;799
2023-08-07T15:06:39.898;816
2023-08-07T15:06:40.714;837
2023-08-07T15:06:41.551;869
2023-08-07T15:06:42.420;829
2023-08-07T15:06:43.249;773
2023-08-07T15:06:44.022;732
2023-08-07T15:06:44.754;746
2023-08-07T15:06:45.500;770
2023-08-07T15:06:46.270;845
2023-08-07T15:06:47.115;891
2023-08-07T15:06:48.006;895
2023-08-07T15:06:48.901;819
2023-08-07T15:06:49.720;811
2023-08-07T15:06:50.531;834
2023-08-07T15:06:51.365;875
2023-08-07T15:06:52.240;908
2023-08-07T15:06:53.148;935
2023-08-07T15:06:54.083;852
2023-08-07T15:06:54.935;810
2023-08-07T15:06:55.745;828
2023-08-07T15:06:56.573;876
2023-08-07T15:06:57.449;915
2023-08-07T15:06:58.364;946
2023-08-07T15:06:59.310;847
2023-08-07T15:07:00.157;832
2023-08-07T15:07:00.989;855
2023-08-07T15:07:01.844;895
2023-08-07T15:07:02.739;921
2023-08-07T15:07:03.660;875
2023-08-07T15:07:04.535;811
2023-08-07T15:07:05.346;822
2023-08-07T15:07:06.168;855
2023-08-07T15:07:07.023;900
2023-08-07T15:07:07.923;916
